title,description,quantity,price,subcategory,style,color,size,fit,waist,inseam,length,width,band,cup,material,finish,metal,frameColor,lensColor,pattern
Air Runner Low,White/black daily runner — size EU/UK/US,6,0.01,footwear,Air Runner Low,White,40EUR/6.5UK/7.5US,,,,,Standard/D,,,Mesh,,,,
Air Runner Low,White/black daily runner — size EU/UK/US,6,0.01,footwear,Air Runner Low,White,41EUR/7UK/8US,,,,,Standard/D,,,Mesh,,,,
Air Runner Low,White/black daily runner — size EU/UK/US,6,0.01,footwear,Air Runner Low,White,42EUR/8UK/9US,,,,,Standard/D,,,Mesh,,,,
Air Runner Low,White/black daily runner — size EU/UK/US,4,0.01,footwear,Air Runner Low,White,43EUR/9UK/10US,,,,,Standard/D,,,Mesh,,,,
Air Runner Low,Black daily runner wide fit — size EU/UK/US,4,0.01,footwear,Air Runner Low,Black,42EUR/8UK/9US,,,,,Wide/EE,,,Mesh,,,,
Air Runner Low,Black daily runner wide fit — size EU/UK/US,4,0.01,footwear,Air Runner Low,Black,43EUR/9UK/10US,,,,,Wide/EE,,,Mesh,,,,
Trail Hiker Mid,Waterproof trail shoe — size EU/UK/US,5,0.02,footwear,Trail Hiker Mid,Brown,40EUR/6.5UK/7.5US,,,,,Standard/D,,,Leather,,,,
Trail Hiker Mid,Waterproof trail shoe — size EU/UK/US,5,0.02,footwear,Trail Hiker Mid,Brown,41EUR/7UK/8US,,,,,Standard/D,,,Leather,,,,
Trail Hiker Mid,Waterproof trail shoe — size EU/UK/US,5,0.02,footwear,Trail Hiker Mid,Brown,42EUR/8UK/9US,,,,,Standard/D,,,Leather,,,,
Trail Hiker Mid,Waterproof trail shoe — size EU/UK/US,4,0.02,footwear,Trail Hiker Mid,Brown,44EUR/9.5UK/10.5US,,,,,Standard/D,,,Leather,,,,
Court Classic,Leather tennis silhouette — size EU/UK/US,8,0.01,footwear,Court Classic,White,38EUR/5UK/6.5US,,,,,Standard/D,,,Leather,,,,
Court Classic,Leather tennis silhouette — size EU/UK/US,8,0.01,footwear,Court Classic,White,39EUR/6UK/7US,,,,,Standard/D,,,Leather,,,,
Court Classic,Leather tennis silhouette — size EU/UK/US,8,0.01,footwear,Court Classic,White,40EUR/6.5UK/7.5US,,,,,Standard/D,,,Leather,,,,
Court Classic,Leather tennis silhouette — size EU/UK/US,6,0.01,footwear,Court Classic,White,41EUR/7UK/8US,,,,,Standard/D,,,Leather,,,,
Court Classic,Navy leather tennis — size EU/UK/US,5,0.01,footwear,Court Classic,Navy,42EUR/8UK/9US,,,,,Narrow/B,,,Leather,,,,
Court Classic,Navy leather tennis — size EU/UK/US,5,0.01,footwear,Court Classic,Navy,43EUR/9UK/10US,,,,,Narrow/B,,,Leather,,,,
